date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:07	4672/4672	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
15:23:07	12352/12352	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2003%20Mar%202023%2018:30:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
15:23:07	13324/13324	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2003%20Mar%202023%2018:30:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
15:23:08	5268/5268	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
15:23:08	7584/7584	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2003%20Mar%202023%2018:33:07%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
15:23:08	6320/6320	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
15:23:08	6644/6644	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
15:23:08	4568/4568	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
15:23:09	12160/12160	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
15:23:09	13108/13108	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2003%20Mar%202023%2018:33:07%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	D:Temalar/classcentral3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
